Timestamp,Object Class,Object Confidence,Bounding Box,Gesture Detected
1741366829.487831,chair,0.47409871220588684,"[1,0,411,477]",No Gesture
1741366829.7670224,cat,0.4348256587982178,"[69,200,342,408]",No Gesture
1741366830.4476438,person,0.41270801424980164,"[89,190,363,479]",No Gesture
1741366830.4498932,chair,0.3643788695335388,"[2,0,410,477]",No Gesture
1741366830.4498932,cat,0.2691643238067627,"[90,189,358,349]",No Gesture
1741366831.0343745,person,0.6230929493904114,"[84,186,363,479]",No Gesture
1741366831.035538,chair,0.2693825662136078,"[0,0,413,477]",No Gesture
1741366831.585001,person,0.27073171734809875,"[104,179,365,479]",No Gesture
1741366832.0907717,person,0.44876551628112793,"[100,186,366,479]",No Gesture
1741366832.091279,person,0.28600913286209106,"[412,254,639,479]",No Gesture
1741366832.0927193,person,0.25873321294784546,"[17,0,638,479]",No Gesture
1741366832.457834,cat,0.5009467601776123,"[121,190,409,371]",No Gesture
1741366832.457834,chair,0.3357071280479431,"[0,1,415,477]",No Gesture
1741366832.4592564,cat,0.2855032980442047,"[119,189,411,458]",No Gesture
1741366832.8621323,cat,0.5890200734138489,"[122,192,414,479]",No Gesture
1741366832.8631523,chair,0.37384679913520813,"[1,0,417,478]",No Gesture
1741366833.2254922,person,0.6936913132667542,"[112,197,381,479]",No Gesture
1741366833.2264931,chair,0.46998709440231323,"[1,1,411,478]",No Gesture
1741366833.22751,person,0.33773770928382874,"[407,260,639,479]",No Gesture
1741366833.568926,person,0.6894654035568237,"[70,198,352,479]",No Gesture
1741366833.569985,person,0.34887030720710754,"[17,0,636,480]",No Gesture
1741366833.9086807,person,0.32300642132759094,"[74,199,346,479]",No Gesture
1741366833.9086807,chair,0.3055829405784607,"[1,0,419,479]",No Gesture
1741366834.2769513,person,0.4535909593105316,"[71,197,347,479]",No Gesture
1741366834.6355336,person,0.3585277199745178,"[3,0,636,478]",No Gesture
1741366834.636533,cell phone,0.2818257510662079,"[315,90,592,477]",No Gesture
1741366835.0211697,cell phone,0.44844698905944824,"[293,72,593,475]",No Gesture
1741366835.0221674,person,0.31013500690460205,"[80,200,345,479]",No Gesture
1741366835.3790336,cell phone,0.6923110485076904,"[285,71,587,475]",No Gesture
1741366835.3800447,person,0.37949562072753906,"[3,2,624,479]",No Gesture
1741366835.7449238,person,0.3747446537017822,"[81,195,349,479]",No Gesture
1741366835.745924,cell phone,0.2669351398944855,"[298,68,600,476]",No Gesture
1741366836.0940003,cell phone,0.4989687204360962,"[299,68,601,477]",No Gesture
1741366836.4268782,person,0.4051867127418518,"[67,194,360,479]",No Gesture
1741366836.7691848,person,0.2755270004272461,"[319,82,618,479]",No Gesture
1741366837.1181982,person,0.4762619137763977,"[88,202,350,479]",No Gesture
1741366837.1191971,couch,0.3049811124801636,"[5,0,640,480]",No Gesture
1741366837.523565,cell phone,0.507401168346405,"[407,94,629,477]",No Gesture
1741366837.5245655,person,0.4784148335456848,"[93,200,353,479]",No Gesture
1741366837.5258482,person,0.26434755325317383,"[2,3,634,478]",No Gesture
1741366837.8742328,person,0.6748113036155701,"[90,200,353,479]",No Gesture
1741366837.8752325,cell phone,0.4289826452732086,"[409,96,636,477]",No Gesture
1741366837.876232,chair,0.3978971838951111,"[0,0,424,479]",No Gesture
