Timestamp,Tracked Object,X Position,Y Position,Bounding Box
1741366830.0066285,Tracked Object,3,1,"[3,1,413,478]"
1741366830.7659106,Tracked Object,19,-3,"[19,-3,429,474]"
1741366831.378826,Tracked Object,12,-6,"[12,-6,422,471]"
1741366831.9146135,Tracked Object,13,-9,"[13,-9,415,459]"
1741366832.2958748,Tracked Object,27,9,"[27,9,413,458]"
1741366832.689462,Tracked Object,48,7,"[48,7,442,465]"
1741366833.0728989,Tracked Object,75,18,"[75,18,446,450]"
1741366833.4188182,Tracked Object,47,25,"[47,25,411,449]"
1741366833.759105,Tracked Object,38,27,"[38,27,409,459]"
1741366834.113007,Tracked Object,23,15,"[23,15,417,473]"
1741366834.4839773,Tracked Object,38,17,"[38,17,424,466]"
1741366834.8492537,Tracked Object,11,11,"[11,11,397,460]"
1741366835.225625,Tracked Object,-22,16,"[-22,16,364,465]"
1741366835.5851438,Tracked Object,-9,8,"[-9,8,385,466]"
1741366835.9387624,Tracked Object,16,23,"[16,23,380,447]"
1741366836.2741237,Tracked Object,18,25,"[18,25,382,449]"
1741366836.6196308,Tracked Object,1,16,"[1,16,380,457]"
1741366836.9646237,Tracked Object,10,15,"[10,15,404,473]"
1741366837.3555312,Tracked Object,18,17,"[18,17,404,466]"
1741366837.7263603,Tracked Object,23,26,"[23,26,394,458]"
1741366838.0797207,Tracked Object,20,15,"[20,15,414,473]"
1741366838.4654222,Tracked Object,24,23,"[24,23,403,464]"
1741366838.8050034,Tracked Object,35,28,"[35,28,406,460]"
1741366839.153187,Tracked Object,25,24,"[25,24,404,465]"
1741366839.5103993,Tracked Object,24,15,"[24,15,410,464]"
1741366839.87204,Tracked Object,28,18,"[28,18,407,459]"
1741366840.2221334,Tracked Object,29,23,"[29,23,408,464]"
1741366840.5633535,Tracked Object,38,26,"[38,26,409,458]"
1741366840.8999155,Tracked Object,36,20,"[36,20,422,469]"
1741366841.244523,Tracked Object,56,30,"[56,30,420,454]"
1741366841.568837,Tracked Object,29,42,"[29,42,372,441]"
1741366841.8912585,Tracked Object,8,38,"[8,38,365,453]"
1741366842.2516851,Tracked Object,-11,28,"[-11,28,360,460]"
1741366842.6121883,Tracked Object,28,44,"[28,44,371,443]"
1741366842.938497,Tracked Object,2,56,"[2,56,345,455]"
1741366843.2885556,Tracked Object,-4,54,"[-4,54,339,453]"
1741366843.627348,Tracked Object,-5,52,"[-5,52,338,451]"
1741366843.955132,Tracked Object,-1,55,"[-1,55,335,446]"
1741366844.2938015,Tracked Object,-7,41,"[-7,41,357,465]"
